context,context_label,chinese,english,source_file:line
property_desc,属性描述,0=原图，1=完全迁移,"0=original, 1=fully transferred",tools\color_transfer.py:25
property_name,属性名,A 源,A Source,tools\channel.py:56
property_desc,属性描述,AO 强度倍数,AO intensity multiplier,tools\texture.py:22
property_name,属性名,B 源,B Source,tools\channel.py:53
property_name,属性名,B 通道,Blue Channel,tools\invert.py:25; tools\invert.py:35
property_name,属性名,G 源,G Source,tools\channel.py:50
property_name,属性名,G 通道,Green Channel,tools\invert.py:20; tools\invert.py:34
property_desc,属性描述,OpenGL (Y+) ⇄ DirectX (Y-) 法线格式切换,OpenGL (Y+) ⇄ DirectX (Y-) normal format switch,tools\height_from_normal.py:16
property_name,属性名,R 源,R Source,tools\channel.py:47
property_name,属性名,R 通道,Red Channel,tools\invert.py:15; tools\invert.py:33
property_desc,属性描述,RGB 通道独立加噪，产生彩色噪点效果,"RGB channels get independent noise for color noise effect",tools\noise.py:35
draw_label,Panel 标签,Sobel 算子，无参数,"Sobel operator, no parameters",tools\edge_detect.py:16
property_desc,属性描述,USM 底层模糊的 σ 值,Underlying USM blur sigma value,tools\sharpen.py:16
button_text,Operator 按钮文本,USM锐化,USM Sharpen,__init__.py:108; __init__.py:108
error_prefix,错误前缀,[切分图像],[Slice Image],warp\slice_image.py:198
error_prefix,错误前缀,[图像编辑工具集],[Image Editor Tools],engine_base.py:28
error_prefix,错误前缀,[置入图像],[Place Image],warp\place_image.py:278; warp\place_image.py:296
error_prefix,错误前缀,[自由裁切],[Free Crop],warp\free_crop.py:449; warp\free_crop.py:463
error_prefix,错误前缀,[贝塞尔扭曲],[Mesh Warp],warp\bezier_warp.py:259; warp\bezier_warp.py:327
error_prefix,错误前缀,[透视形变],[Perspective Warp],warp\perspective_warp.py:52; warp\perspective_warp.py:336; warp\perspective_warp.py:353
draw_label,Panel 标签,"alpha = max(R,G,B) 重建透明通道","alpha = max(R,G,B) rebuild transparency",tools\rebuild_alpha.py:14
hud_text,GPU HUD 文本,{mode}(双击切换),{mode} (double-click to switch),tools\preview_engine.py:154
property_name,属性名,不透明度,Opacity,__init__.py:43; __init__.py:201; tools\composite.py:71
button_text,Operator 按钮文本,中文,,scripts\extract_translations.py:63; scripts\extract_translations.py:77; scripts\extract_translations.py:96; scripts\extract_translations.py:100; scripts\extract_translations.py:124
property_name,属性名,中间调,Midtones,tools\levels.py:25; tools\levels.py:47
property_name,属性名,位深,Bit Depth,tools\depth.py:25
button_text,Operator 按钮文本,位移,Offset,__init__.py:114; __init__.py:114
button_text,Operator 按钮文本,保存,Save,__init__.py:221; __init__.py:221; tools\operators.py:163
property_name,属性名,保持原始明度,Preserve Original Luminance,tools\relight.py:71; tools\relight.py:88
property_name,属性名,保持明度,Preserve Luminance,tools\color.py:60; tools\color.py:103
property_name,属性名,保留细节,Preserve Details,tools\denoise.py:25; tools\denoise.py:40
property_name,属性名,偏移,Offset,tools\color.py:40; tools\color.py:94
property_desc,属性描述,像素块尺寸,Pixel block size,tools\mosaic.py:16
property_desc,属性描述,先缩到 1/2 做晶格化再还原，大幅加速,"Scale to 1/2 for crystallization then restore, significantly faster",tools\crystallize.py:26
property_desc,属性描述,先缩到 1/2 做模糊再还原，大幅加速,"Scale to 1/2 for blur then restore, significantly faster",tools\blur.py:61
property_name,属性名,全局羽化,Global Feather,tools\mixer.py:43
button_text,Operator 按钮文本,减少杂色,Denoise,__init__.py:122; __init__.py:122
property_name,属性名,几何变形,Geometric Warp,__init__.py:159
button_text,Operator 按钮文本,切分图像,Slice Image,__init__.py:166; __init__.py:166; warp\slice_image.py:196; warp\slice_image.py:205
hud_text,GPU HUD 文本,切分图像 | 拖拽分割线 | Shift 吸附 | 纵:{cols} 横:{rows} | Enter 应用 | Esc 取消,Slice Image | Drag lines | Shift snap | Cols:{cols} Rows:{rows} | Enter=Apply | Esc=Cancel,warp\slice_image.py:109
property_desc,属性描述,前景不透明度,Foreground opacity,tools\composite.py:50
property_name,属性名,前景图,Foreground Image,__init__.py:25; __init__.py:196; tools\composite.py:64
report,报告消息,剪贴板中无有效图像,No valid image in clipboard,ops\__init__.py:158
property_name,属性名,半径,Radius,tools\texture.py:15
